accuracy,GFAR,SDR,F1,precision,recall,score,elapsed,RTF,speech_threshold,min_speech_frame,min_silence_frame
84.76757960395385,15.750018208113536,84.86837506395094,90.31649796801545,96.51208873753166,84.86837506395094,44.621017755125145,47.99529981613159,0.004076104399437515,0.65,60,50
82.99687867535765,11.44978202286939,81.91543788022308,88.96834352129018,97.35017770628859,81.91543788022308,44.56934991898609,47.64372158050537,0.004046245859153933,0.55,50,30
83.99780549085183,14.01608556772898,83.61103653687373,89.74006422959552,96.83873586982284,83.61103653687373,44.560187695032646,48.04451251029968,0.0040802838936791425,0.55,60,40
82.32656975664521,10.115907648448148,80.85484026198351,88.4506349202831,97.62155510787707,80.85484026198351,44.46654109781085,47.82927966117859,0.00406200477954574,0.5,50,25
82.09406032525882,9.93278604946364,80.54139207869636,88.27630621977693,97.6547251275941,80.54139207869636,44.35172082743236,47.475476026535034,0.004031957242448724,0.3,20,15
82.51032173980143,11.196429128819801,81.28479310292427,88.61060754065393,97.38770100209742,81.28479310292427,44.29230421022664,47.88588070869446,0.004066811745637754,0.6,50,30
83.42747053990183,13.741923401067515,82.87624672647239,89.32925447665076,96.87201737412875,82.87624672647239,44.22897867545643,47.92324662208557,0.004069985126459334,0.6,60,40
84.04944598819476,15.49094276409568,83.95994265944675,89.80796676235278,96.53164176566305,83.95994265944675,44.17958849002978,48.714608669281006,0.004137193255890313,0.7,60,50
82.25703739569086,11.76504250293931,81.09291499718869,88.44055429476795,97.25236340485814,81.09291499718869,43.949731997137484,47.357067823410034,0.00402190117030132,0.25,20,15
82.84153320551816,13.410015502908095,82.11157093867297,88.90238036869034,96.91768864314686,82.11157093867297,43.902936362040535,47.93366813659668,0.004070870196066364,0.65,60,40
81.23389414291614,9.807410181977088,79.4893043658854,87.64020721962466,97.65370345709098,79.4893043658854,43.77061854674041,47.4143967628479,0.00402676995418543,0.25,20,10
82.14052829331125,13.126489163571286,81.21884133585253,88.38940781117697,96.94871760763594,81.21884133585253,43.48070913608301,48.43559432029724,0.0041134973602556186,0.7,60,40
82.39703486878311,14.21897597569477,81.73804687539572,88.60156343943497,96.72339466478692,81.73804687539572,43.35523773495953,47.50379419326782,0.00403436222386244,0.2,20,15
81.43316371394387,12.077181592117448,80.16938764138854,87.84662862725074,97.14997759512863,80.16938764138854,43.270759947986136,47.5362069606781,0.004037114948073876,0.2,20,10
82.17834711402544,14.706953418443259,81.57179979434396,88.45550051688018,96.6080870786955,81.57179979434396,43.06029850922907,47.9921350479126,0.0040758356246676924,0.8,60,50
81.46318134294124,15.838457616714008,80.93771053151451,87.9652333612632,96.32913697039557,80.93771053151451,42.227243272223106,48.290452003479004,0.004101170835816896,0.15,20,10
82.34887098948789,18.234125126156215,82.46240192080722,88.662927963427,95.87173036333483,82.46240192080722,42.18379110202184,47.410893201828,0.004026472406705956,0.15,20,15
80.91345171359112,15.623081645181092,80.23898651078682,87.55825271965787,96.34685143870627,80.23898651078682,41.89415924839965,47.293498039245605,0.004016502369212535,0.2,10,10
79.98553387709902,17.047476355463996,79.4077511055279,86.91383596610477,95.9870975800615,79.4077511055279,40.825660121131136,47.442009687423706,0.004029115041387217,0.15,10,5
80.79236365085598,20.12412731112984,80.97083837764731,87.5882388073768,95.38352662620207,80.97083837764731,40.532852102136445,47.87429642677307,0.004065827925499428,0.15,10,10
81.19683848226119,22.23262685852816,81.8646823728453,87.93472967715783,94.97702189678071,81.8646823728453,40.22575868029591,47.49321246147156,0.004033463547456758,0.1,20,10
79.51992144539123,24.74690722185806,80.35083098213427,86.7860278971542,94.34173902700131,80.35083098213427,38.31173570053734,56.41146922111511,0.004790865746267033,0.1,10,5
80.19794676025836,28.407258274287024,81.87369882026371,87.37591581601349,93.67095209836248,81.87369882026371,37.76131598244341,47.311604738235474,0.004018040119694241,0.1,10,10
